word,colour,stim_condition,correct_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
Sadness,0.7565246,,Sadness,1.2416002,,Love,1.7074035,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadness,1.2416002,,Anger,0.8001419,,Love,1.5179847,,,,,,,,,,,,,,,,,,,,,,,,,,
Anger,0.8001419,,Anger,0.5514693,,Joy,0.730988,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy ,0.9725752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy ,1.4512698,,mean_negative,1.205716563,,mean_positive,1.161916075,,,,,,,,,,,,,,,,,,,,,,,,,,
Love,1.2610115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy,0.5992795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anger,0.5514693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love,1.7074035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love,1.5179847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy,0.730988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
