word,colour,stim_condition,correct_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,text.stopped,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
Joy,1.3275922,,Sadness,1.525337,,Joy ,1.6205587,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anger,1.6154798,,Sadness,3.5819997,,Love,1.3273911,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy ,1.6205587,,Sadness,1.388989,,Love,1.250614,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love,1.3273911,,Anger,1.2146051,,Joy ,1.2322887,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love,1.250614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anger,1.5383864,,mean_negative,1.977120975,,mean_positive,2.571426512,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anger,3.5972167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadness,1.525337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy ,1.2322887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadness,3.5819997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadness,1.388989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anger,1.2146051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
