word,colour,stim_condition,correct_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,text_2.stopped,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,Anger,1.0788309,,,Anger,1.1898301,,Joy ,1.0920313,,,,,,,,,,,,,,,,,,,,,,,,
,,Anger,1.5231957,,,Sadness,0.8672023,,Love,1.079943,,,,,,,,,,,,,,,,,,,,,,,,
,,Anger,1.1898301,,,Sadness,1.3994981,,Joy ,0.970602,,,,,,,,,,,,,,,,,,,,,,,,
,,Sadness,0.8672023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Love,1.2806134,,,mean_negative,1.26907865,,mean_positive,1.087752575,,,,,,,,,,,,,,,,,,,,,,,,
,,Love,0.8615677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Joy,1.1692122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Joy ,1.0920313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Love,1.079943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Joy ,0.970602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sadness,1.3994981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
